"","tweet"
"303","shunga talagaang iq level sea levell measly affect lives uca cancel businesses support majority pesky houseflies"
"304","patuloy nangunguna uniteam"
"305","pinoy ofw worldwide bbm sara merch madami design redbubble teepublic store latest design"
"306","never forget"
"307","philippines great bbmarcos president"
"308","pagaling papzsana handshake maghilom sugat nyokasama lagi dasal"
"309","filipino"
"310","put bbm popemobile vehicle safe im bbm supporters agree understand safety important us take risks know desperate people"
"311","uumpisa campaign bbmsara umikot hahahah"
"312","weee nagpapatawa"
"313","pagod pagod president vpres laki inikot north south ginabi di kinaya makipag kamay inday sara paaaa hahahaahaha batangbata"
"314","resident project qc"
"315","kabataan pogi nakasakay hahahahaahahahha hanap noh"
"316","team bahay nakalive padn"
"317","respect opinion convicted sinungaling iboboto"
"318","pinkininam must talagang mapapasaltik fem"
"319","inday sara horse signmaganda forecastlucky sign rooster bbm rooster"
"320","leody iboto bbm pakawala npa hhahaha"
"321","gamitin double standardsmisogyny fanaticism cards pwedeng preferred kandidato pinoy nanay leni"
"322","wrong corykong hirap pinas"
"323","pinaka malaking pangyayari history pinas"
"324","put two sentences together"
"325","fake news boy official senatorial slate"
"326","majority filipinos around bbm undeniable reds everywhere cheers mabuhay"
"327","nandaya daming ebidensya pinagtakpan noynoygising natutulog pasa loob yrs nagawa dilawan ibabalik ulitmaawa bayanniloloko bulag ri"
"328","ahahahahahahaha everyone wants claritafied huh true"
"329","goosebumps"
"330","latta"
"331","congratulations future president proud th praying clean election celebrate streets turn red supporters wearing red"
"332","reverse real human bbm"
"333","town laoag supposed hour drive regular car speed took hours tao"
"334","bbmsara supporters follow ill follow youmabuhay"
"335","never martial law bhe ekissss talagaaa"
"336","corrupt counts peke credentials insisted degree srsly tax evader become next pres convince people tax time"
"337","twist chile affect themba"
"338","retire di president mukhang nanganak siyam beses"
"339","explain linyahan buking nagsisinungaling tsk tsk tsk"
"340","dun totoo magnakaw pumatay tao ibenta pinas tsina sunod lupang kinatatayuan mu ibenta digong"
"341","napaplastikan ke leni napa plastikan magnanakaw mamatay tao sinungaling nagpapangap matino history revisionism fake news bobong narcos sara dutae"
"342","true thank"
"343","nandidiri masyadong mababa pain threshold"
"344","maidagdag tumigil pulitika saysay sinasabing unity galing ilong"
"345","tang ina kanang kamay sinubukang hawakan sinungaling"
"346","marcoses know love return pagkakaisa mangyari pagkakaisa maupo ulit kapangyarihan gamitin pansariling intensyon"
"347","iretweet iretweet bbm maling kamay sugat left quotangquota kasinungalingan samin hyup"
"348","covid excuse hearing boom covid positive result next sugat excuse rejecting handshakes boom sugat next convenient sakit nauuna diagnosis sakit"
"349","sugat bbm unity"
"350","pres duterte described weakampspoiled truehe speaks english didnt earn masters degree lee kuan yews son running singapore camb"
"351","bobo bbm supporters di maintindihan bobo badtrip gano kabobo mabasa"
"352","cede square inch philippines country bongbong inhale end speech vulnerable heartfelt firm maintream media"
"353","galing kungdi usaid credit grabbing fact chect false galing"
"354","suot di malamig mainit tinatago takot mahawakan"
"355","nandidiri"
"356","watching kbp debate realized duwag bbm utalutal ubos minutes"
"357","sumusuporta magnanakaw magnanakaw grupo pinatay pumatay guilty"
"358","diring diri tuwang tuwa hahanap pambili bigas sasabihin hihirap makain"
"359","nakakahiya pinas pres convicted law breaker nanay convicted plunderer laya tatay pinatalsik pinoy korapsyon isip isip hangal"
"360","alcohol mahawakan tao di kunwari kakamayan halata nandidiri"
"361","taenang bbm supporters kabobohan harapharapang ginagago nagpapauto shuutaena sarap ipasok bunganga imee"
"362","traffic fairview asong gumagala"
"363","nanalo kalokohan gobyerno kawawa kayong hampaslupa"
"364","weak leader kampanya nagpapakita"
"365","diring diri caloocan"
"366","bbm kania nalng"
"367","nia sinu kakapink hahahha choz"
"368","jobless"
"369","nonpartisan punintended"
"370","diring diri mainit ulo bbm paka elitista"
"371","crucial turnout elections nitpicking"
"372","true real definition diktadordictator saltik utak"
"373","best"
"374","bbm family vinny simon liza didnt sandro"
"375","st vincent ferrer pray us"
"376","daming tao dahol hinarang kalye"
"377","resbakuna event unitim mascots govt bldg intramuros unitim colors pinanggigigilan comelec leni tarps murals private properties apakagarapal"
"378","kala solid north tarps murals isabela pinagkakadiskitahan cla survey susme palibhasa organic galaw"
"379","handa bbm presidency"
"380","mphos fans talking body shamingwhen literally pushing stereotype big girls bad odor national tv concerned speak yolithey theyre pushing agenda coz"
"381","jusmiyo marimarlahat plaway leni supportersdaming sinasabibakit pabayaang sinong iboto nmn political biases tama di go"
"382","started"
"383","tamara saved nominate place"
"384","tamara betrayed busy scheming whole pulling everyone conspiracy corner except bestie tamara"
"385","tamara shook game ziyakhala ke manje"
"386","comprehend people guy"
"387","tulz per reason gave saved hershe nominated bcz competitive saved tulz bcz competitive game emotions"
"388","careful shake hands bbm maybe excited know anymore hurting bbm"
"389","wonderful"
"390","whr central act winning carrying kg"
"391","bongbong personal magpapaka babae promise"
"392","eu vou morrer de tanto chorar poss vel merece issoooooo"
"393","copied edsa magkaisa concept hoping people overhyped paid influencers trolls fooled clownery masterpiece nd rate copycat"
"394","ferdinand rfte im mai zum chsten pr sidenten der gew hlt werden und die brutale linie des scheidenden rodrigo fortf hren der sohn des gleichnamigen diktators geh rt zu den popul rsten personen des landes"
"395","enlighten bbm president philippines"
"396","wants military presence defend waters"
"397","protect costs us proud"
"398","bbm excels presidential debate"
"399","president congrats job"
"400","anticapitalism corporation wearing brand"
"401","umattend trending umattend trending padin nyare"
"402","nagmamahal di baok umayaw minority majority masaya sigurado"
"403","nakakaisang pilipino"
"404","silang magkakamali istorbohin tatay lolot lola loyalist"
"405","ouchh sakit bicol pabaka babaklas"
"406","lutang"
"407","magnanakaw always thrown bbm family end among clear conscience dare clean trying deceive us pure noble"
"408","mabuhay pampanga thank"
"409","reality"
"410","mahilig tiktok sali"
"411","protect cost samasama babangon follow spread positivity anon"
"412","napakagandang bungad groupie bbmsara uniteam successful caravan ilocos norte sucha inspiring smiles everyone"
"413","sara duterte future filipino people"
"414","maraming salamat sara maaayus spaghetti wires ncr metro cebu"
"415","maraming salamat sara maaayus spaghetti wires ncr metro cebu"
"416","maraming salamat sara maaayus spaghetti wires ncr metro cebu"
"417","maraming salamat sara maaayus spaghetti wires ncr metro cebu"
"418","smooth travel kakampwets hope enjoyed tour around butuan atleast enjoy sariwang hangin trapik"
"419","npa nandito kabbm support gadon marcoleta teodoroand rest uniteam pink mukhang block voting senado talo pres vp posisyon govt"
"420","manifesting bbmsara tandem win upcoming election"
"421","add kinakatakutan oligarchs yellowtards pinklawans"
"422","ginagawan issue dilawang pink lumabas halos ilaglag sinasakyan aling lenlen gustong selfie aling lenlen pinkanselawans pinaka toxic explain"
"423","bbm tunay malasakit mamamayang pilipino bansang pilipinas"
"424","nagkakaisang pilipino"
"425","pinklawan tunay mamatay tao magnanakaw bansang pilipinasmga lider npa supporter bastos mahilig kaguluhan gawain"
"426","hwag pakampante ilaglag di masaya nagkakaisang pilipino"
"427","tiyak wawala inggit pinklawan nyansasabihin cancel magawa cancelsya kayong mamili kumainpunta planet mercury masunog kayong"
"428","answers bongbong direct point tangible solution regards issue west philippine sea"
"429","antique"
"430","publicus asia survey february"
"431","bbm sara ensures next admin continue add gains achieved prrd"
"432","bbm sara ensures next admin continue add gains achieved prrd"
"433","kagabi roselle nava nacancel pinx gabi nmn nlng kalokaaaa ha"
"434","nagsasabi edited sugat bbm"
"435","salamat mabuhay totoong pilipino sakalam"
"436","panpacific sakalamgreat"
"437","kuya humusga"
"438","mahapdi tinitiis sakit lalu bilib go president bbm"
"439","nagkakaisang pilipino"
"440","prayer often prayed president ferdinand emmanuel edralin"
"441","bbm humble isko humbold ping hambog pacman leni hambobo"
"442","hay nako hahahahaa"
"443","maraming artista boboto minkdilawan"
"444","second emotion"
"445","second emotion"
"446","ndi maiintindihan bkit buang kakampwet nambaklas nangwasak tarp bbm ah buang"
"447","despicable politics always whores niches society thick skins mostly gets kick locked spins news"
"448","lunukin pride delicadeza must campaign senatoriables latest survey alarming trial error silang uupo"
"449","gap becoming slimmer early months hurdle senators far winning"
"450","magtulungan uniteam senators panalunin"
"451","nalulungkot tumawa babackread gc buo hahahaahahahah kagaguhan nitong kaklase"
"452","ganon"
"453","anak cher taiwan news"
"454","masakit"
"455","guuuys sakin ticket makapasok antimarcos sasakit ulo bbmsara umpisa campanya peste alis gordonhonteverosdioknocayetano"
"456","shall answer barging tweets thank"
"457","straight tau senador"
"458","solid bbmsara"
"459","sakit mata solid uniteam"
"460","namayagpag ulit habol lutang"
"461","bbm sara"
"462","friend know gonna wake bed"
"463","napatunayan nagawa sample ballot inc pagasa bumaba kuryente tubig naupo"
