,tweet
95,@vtabing @lenirobredo HAHAHAHAHAHAHAHAHA EL WHAT? SAD DIE? HAHAHAHAHAHAHAHAHA ENDORSEMENT IS NOT A GUARANTEE... WE HAVE OUR OWN IDEOLOGY AND BELIEF... #NOTOBBM #NEVERAGAIAN
96,#KayLeniTayo  #QCCircle #LetLeniLead   #NoToMarcosDuterte2022  #NoToBBM  https://t.co/6nrnAmba4S
97,Hahahahaha ngaw ngaw Naman Ang kampon ng kadiliman hahahahaah paano pahiya pahiya jushkopo ngayon pilit pinaptrend ang #NagmamaLenis 😂😂😂 #NotoBBM  https://t.co/7ha1poZ8dQ
98,Hahahaha sadyang Tanga lang Ang Hindi makaintindi palibhasa may napahiya hahahaha butata kaya pilit na Pilit Ang hashtag na #NagmamaLenis 😂 Ang TOTOO #MarcosDuwag #MarcosNumber1Sinungaling #MARCOSMAGNANAKAW  #notoBBM #LeniKiko2022
99,@MalacananEvents Ngek. #NoToBBM #Magnanakaw
100,@PhilstarNews #NoToBBM #Halalan2022
101,"Hello COMELEC, EH DI NAMAN PALA OK ANG TAX EVASIION EH DI PAKI CANCEL NA MG COC NG SINUNGALING NA BBM NA YAN. DAMI NYONG KUDA. GO STRAIGHT TO THE POINT. #NOtoBBM #NeverAgain #NeverForget"
102,My parents are laughing at me right now and calling me “tanga” kasi hindi ako pumirma sa gaganaping Rally ni BBM sa sunday dito sa Mandaluyong and now they have free Tshirt and 2k each at ako wala  #NotoVoteBuying #NotoBBM
103,@PhilstarNews everything about that man is untrue! let us not be deceived again! #NOTOBBM #NOTOSARA
104,Spoiled brat @bongbongmarcos  is here and walang sinasanto-santo!  ABUSADO = IT'S IN HIS BLOOD.  I-REPORT NA YARN! 🙄😎  #NeverAgainToMarcos #NoToBBM #MartialLaw  https://t.co/hOL0KWQ4Q6
105,Hahaha si leni lang lutang so si blengblong genius???????? #NoToBbm #NoTMarcosJr #letlenilead #leniforpresident2022  https://t.co/zZMM95bsur
106,Nasa impyerno na ba ako?🙀🙀🙀#NoToUniTeam #NoToMarcosJr #NoToSaraDuterte
107,@NAMercadoINQ There can never be unity if he only unifies politicians and allies. Unity of the people means unifying the different sectors of the community. He gave a speech but not one that came from the heart. All mouth no heart. #NeverAgainToMarcosDute
108,"2/ “This is precisely the ideology behind my candidacy, the candidacy of Mayor @indaysara , twogether we have come twogether on the basis of unity”  See what unity can do for our country? Don’t be a tumultuous supporter, subscribe na sa #UniTeamBBMSARA  #BBMSARA2022  https://t.co/lPWqSkU4Di"
109,#BBMSARA2022  #BBMForPresident  #BBMIsMyPresident2022  #UniTeamMahalinNatin  #UniTeamBBMSARA
110,"Day 15/28 Cauyan, Isabela  #mahalinnatinangpilipinas  #bangonbayanmuli  #UniTeamBBMSARA  https://t.co/OdLkQ8l3id"
111,"1/ BBM: “I will be a unifying President” Also BBM: Signed alliance with other 3 Big Political Parties in the Phils.  Ganyan dapat, you walk the talk. We should help and support each other. There’s strength in unity. #Halalan2022 #BBMForPresident #UniTeamBBMSARA  @bongbongmarcos  https://t.co/2KKd1mpasi"
112,@itsmenenek .dami talagang artista supportado sa #UniTeamBBMSARA
113,"@Scarlett_8_ Ngpa ppansin lng yàn, ppa awa epek. Kulelat ba nmn. ❤💚🇵🇭 #UniTeamBBMSARA"
114,@smninews  @MJ__Mondejar  @iMthinkingPinoy  @canete_darwin   #SMNIpresidentialdebate  #BBMSARA2022  #UniTeamBBMSARA
115,"Owemjii, why are you guys mad at me? Did I get mad when you guys tweet that BBM is duwag? Oh no Hahahaha🤣 I respect that cause thats your perspective 🤣 Hayst😘 anyways Love Y'all😘 #LENIDUWAG  #BBMSARAH2022  #BBMForPresident #BBMfor2022  #UniTeamBBMSARA"
