,date,tweet
278,2/15/2022,parang its better na matawag ng duwag kesa umattend ng interview hosted by a pedophile and sex offender na wanted sa fbi
279,2/15/2022,lbm pls take notes this is what you call bias
280,2/15/2022,si madam president leni tinawag nyong duwag dahil nag decline siya sa pa presidential debate ng wanted na si quiboloy at supporter ni bbm so ano tawag nyo kina ping manny at isko mga gago lang talaga kayong lbm at trolls noh
281,2/15/2022,yung pauwi na tapos sobrang ma fog tapos yung sound trip yung kay leni tayo nakaka inspire tapos nagnilay nilay na ayoko talaga kay blengbong
282,2/15/2022,i love this trend on tiktok credits to from tiktok fbi pls arrest that mf son of god
283,2/15/2022,i really can not understand how people who call themselves godly and christians support thieves and liars at the same time justice compassion thank you god naulol na yata kaloka
284,2/15/2022,ganito ba ka assuming ang apologist walang sinisisi you can clearly see naman na they were just asking what is the cause of the fire yet ganiyan ang response ng isang apologist kawawa naman to masyadong nag pabulag sa sinusuportahan
285,2/15/2022,yung pagooverthink ko hindi na sa simpleng bagay jusq natatakot ako na manalo ang isang walang substance na tao pero hayop irl as president of the ph kaya ayusayusin niyo desi niyo sa life mga mare huwag kayo trippings
286,2/15/2022,sabi nga pag ayaw or may iniiwasan na mabuko may dahilan pag gusto may paraan
287,2/15/2022,sobrang nagwoworry ako na baka manalo si bobong narcos coz why not jusq isang taon na lang graduate na ako and ill start working then hell have a part sa sahod ko dahil sa tax na automatically ibabawas at pakikinabangan niya
288,2/15/2022,ang tataba talaga ng utak
289,2/15/2022,gigil yung mga leni supporters ohh gumawa din ng hashtag hahahahahahhs
290,2/15/2022,pls tawang tawa aq hahahahaha auq na hahahahah ang aga agaaaa hahahahahhahaah
291,2/15/2022,nabudol na kayo nga kayo uulit pa
292,2/15/2022,wala naman nimention kung cno butt hurt
293,2/15/2022,baka yung at
294,2/15/2022,dapat kasi sa likod niya sumigaw ng
295,2/15/2022,mga kawatan budolbudol akyatbahay at shoplifter be vocal to your candidate nman show your support to bbm sara
296,2/15/2022,sana napakita mukha nung nambubully gangster ang dating eh talaga namang si ingat mga di lang trolls ang nasa payroll pati mga goons na din
297,2/15/2022,tangina karamihan naman ng boboto kaybbm mga matatanda yung may edad na malapit nanga kayong mamamatay mag iiwan pa kayo ng sakit sa ulo saamin desisyonavility ba kayo
298,2/15/2022,laki sa nakaw laki sa nakaw sandok
299,2/15/2022,lam nyo naman mga marcos supporters masaya na sa 200 pesos mga bayarang bobo
300,2/15/2022,if the marcoses return to power the philippines will be the laughing stock of the world
301,2/15/2022,unithieves quibulok
302,2/21/2022,bbm merch new design available sa redbubble and teepublic mas mura ngayon sa teepublic kasi naka sale sa mga kababayan abroad baka eto na hinahanap nyo
